gpu_type,world_size,op,nelem,dtype,latency(ms),throughput(nelem_per_ms)
H100,4,allreduce,32,fp16,0.12,265.1
H100,4,allreduce,64,fp16,0.11,566.1
H100,4,allreduce,128,fp16,0.12,1062.5
H100,4,allreduce,256,fp16,0.13,1988.1
H100,4,allreduce,512,fp16,0.10,5129.5
H100,4,allreduce,1024,fp16,0.09,11725.5
H100,4,allreduce,2048,fp16,0.19,10854.1
H100,4,allreduce,4096,fp16,0.19,21130.5
H100,4,allreduce,8192,fp16,0.10,79173.6
H100,4,allreduce,16384,fp16,0.09,186168.3
H100,4,allreduce,32768,fp16,0.09,384600.9
H100,4,allreduce,65536,fp16,0.08,790336.9
H100,4,allreduce,131072,fp16,0.09,1380007.4
H100,4,allreduce,262144,fp16,0.10,2568266.5
H100,4,allreduce,524288,fp16,0.08,6417045.3
H100,4,allreduce,1048576,fp16,0.16,6567259.7
H100,4,allreduce,2097152,fp16,0.21,9932406.0
H100,4,allreduce,4194304,fp16,0.10,43280939.6
H100,4,allreduce,8388608,fp16,0.20,42742495.5
H100,4,allreduce,16777216,fp16,0.21,78987585.1
H100,4,allreduce,33554432,fp16,0.35,94812240.5
H100,4,allreduce,67108864,fp16,0.78,86459103.2
H100,4,allreduce,134217728,fp16,1.30,103368320.9
H100,4,allreduce,268435456,fp16,2.33,115342524.7
H100,4,allreduce,536870912,fp16,4.54,118245006.1
H100,4,allreduce,1073741824,fp16,8.94,120133171.8
H100,4,allreduce,2147483648,fp16,17.77,120860140.7
H100,4,allreduce,4294967296,fp16,35.35,121503696.2
H100,4,allreduce,8589934592,fp16,70.59,121691555.2
H100,4,allreduce,17179869184,fp16,140.53,122250520.2
